CELL_LINE_NAME,COSMIC_ID,PRIMARY_SITE,HISTOLOGY
CAL-120,906826,breast,carcinoma
DMS-114,687983,lung,carcinoma
CAL-51,910927,breast,carcinoma
H2869,1240138,pleura,mesothelioma
A2058,906792,skin,malignant_melanoma
CESS,910688,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
H2722,1290812,pleura,mesothelioma
HCC1419,907045,breast,carcinoma
ETK-1,906861,biliary_tract,carcinoma
C32,906830,skin,malignant_melanoma
SW1783,909750,central_nervous_system,glioma
DSH1,753552,urinary_tract,carcinoma
HT-1197,907065,urinary_tract,carcinoma
MDA-MB-157,925338,breast,carcinoma
H2373,1290809,pleura,mesothelioma
ES1,949158,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
HDLM-2,924110,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
H2731,1240134,pleura,mesothelioma
IST-MEL1,907172,skin,malignant_melanoma
5637,687452,urinary_tract,carcinoma
786-0,905947,kidney,carcinoma
HMV-II,907058,skin,malignant_melanoma
M14,905975,skin,malignant_melanoma
HT-29,905939,large_intestine,carcinoma
AU565,910704,breast,carcinoma
NCI-H441,908460,lung,carcinoma
HCT-116,905936,large_intestine,carcinoma
KYSE-450,907320,oesophagus,carcinoma
NCI-H2052,688058,pleura,mesothelioma
LOXIMVI,905974,skin,malignant_melanoma
HOS,907060,bone,osteosarcoma
NCI-H28,908470,pleura,mesothelioma
NCI-H358,908465,lung,carcinoma
RS4-11,909703,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
NCI-H727,724855,lung,carcinoma
COLO-800,906813,skin,malignant_melanoma
BT-474,946359,breast,carcinoma
NCI-H838,910399,lung,carcinoma
LS-411N,907794,large_intestine,carcinoma
RKO,909698,large_intestine,carcinoma
RPMI-7951,910903,skin,malignant_melanoma
CAL-54,910952,kidney,carcinoma
WM-115,909784,skin,malignant_melanoma
NCI-H2009,724873,lung,carcinoma
ES3,684055,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
D-283MED,906834,central_nervous_system,primitive_neuroectodermal_tumour-medulloblastoma
639-V,906798,urinary_tract,carcinoma
OE19,910079,oesophagus,carcinoma
NCI-H2452,908462,pleura,mesothelioma
EFM-192A,1290798,breast,carcinoma
UACC-62,905976,skin,malignant_melanoma
DU-4475,906844,breast,carcinoma
SISO,1240212,cervix,carcinoma
JHH-1,1298151,liver,carcinoma
COLO-680N,906817,oesophagus,carcinoma
CAL-33,753541,upper_aerodigestive_tract,carcinoma
CAL-29,1290730,urinary_tract,carcinoma
UACC-257,905977,skin,malignant_melanoma
PA-1,909255,ovary,germ_cell_tumour
H2591,1240131,pleura,mesothelioma
H513,1240141,pleura,mesothelioma
H2461,1290810,pleura,mesothelioma
KELLY,753618,autonomic_ganglia,neuroblastoma
NCI-H661,687829,lung,carcinoma
ES8,949155,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
H2795,1290813,pleura,mesothelioma
SW1417,909747,large_intestine,carcinoma
H2369,1290808,pleura,mesothelioma
647-V,906797,urinary_tract,carcinoma
H2595,1240132,pleura,mesothelioma
MPP-89,908150,pleura,mesothelioma
IGR-1,907169,skin,malignant_melanoma
NCI-H2030,722045,lung,carcinoma
SK-MEL-1,909723,skin,malignant_melanoma
COLO-205,905961,large_intestine,carcinoma
BFTC-905,910926,urinary_tract,carcinoma
REH,909696,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
RH-41,1240210,soft_tissue,rhabdomyosarcoma
RPMI-8866,910544,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
PANC-08-13,925347,pancreas,carcinoma
PCI-6A,1240206,upper_aerodigestive_tract,carcinoma
NCI-H1792,724868,lung,carcinoma
NCI-H1355,724866,lung,carcinoma
NCI-H1048,687995,lung,carcinoma
OAW-42,910548,ovary,carcinoma
OE33,910549,oesophagus,other
OVCAR-8,905991,ovary,carcinoma
RCC-JW,1524416,kidney,carcinoma
RT4,687455,urinary_tract,carcinoma
PANC-10-05,925348,pancreas,carcinoma
NCI-H1304,753599,lung,carcinoma
NCI-H1623,687798,lung,carcinoma
OCI-AML2,910947,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
ONS-76,909248,central_nervous_system,primitive_neuroectodermal_tumour-medulloblastoma
OVISE,1240198,ovary,carcinoma
RC-K8,1330995,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
RL,910861,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
PA-TU-8988T,1240201,pancreas,carcinoma
PF-382,909260,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
NCI-H1395,684681,lung,carcinoma
NCI-H1755,908475,lung,carcinoma
RXF393,905978,kidney,carcinoma
OSC-19,1298362,upper_aerodigestive_tract,carcinoma
OVKATE,1240199,ovary,carcinoma
RCC-AB,1524418,kidney,carcinoma
RERF-GC-1B,1240209,stomach,carcinoma
RMG-I,909699,ovary,carcinoma
RVH-421,909706,skin,malignant_melanoma
PC-14,753608,lung,carcinoma
PFSK-1,683667,central_nervous_system,primitive_neuroectodermal_tumour-medulloblastoma
NCI-H1581,908471,lung,carcinoma
QGP-1,1298534,pancreas,carcinoma
OPM-2,909249,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
OVMIU,1240200,ovary,carcinoma
RCM-1,909263,large_intestine,carcinoma
RERF-LC-MS,910931,lung,carcinoma
RPMI-2650,909700,upper_aerodigestive_tract,carcinoma
QIMR-WIL,910545,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
NCI-H1092,687997,lung,carcinoma
NCI-H1651,910900,lung,carcinoma
RKN,1298539,ovary,other
OSC-20,1240196,upper_aerodigestive_tract,carcinoma
PSN1,910546,pancreas,carcinoma
RF-48,909697,stomach,carcinoma
RO82-W-1,930083,thyroid,carcinoma
P12-ICHIKAWA,909251,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
PCI-30,1298529,upper_aerodigestive_tract,carcinoma
P32-ISH,1330987,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
NCI-H1648,687799,lung,carcinoma
NCI-H1563,753600,lung,carcinoma
OV-90,1240197,ovary,carcinoma
PL-21,1330991,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
RPMI-6666,909701,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
P30-OHK,909252,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
PCI-15A,1240204,upper_aerodigestive_tract,carcinoma
OAW-28,946360,ovary,carcinoma
NCI-H1688,1298349,lung,carcinoma
NCI-H1568,1298348,lung,carcinoma
OCUB-M,909256,breast,carcinoma
OVCAR-5,905969,ovary,carcinoma
NCI-H1944,1240185,lung,carcinoma
RH-1,971773,soft_tissue,rhabdomyosarcoma
RPMI-8226,905964,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
PANC-03-27,925346,pancreas,carcinoma
OC-314,909257,ovary,carcinoma
NCI-H1993,908476,lung,carcinoma
NCI-H1155,908467,lung,carcinoma
NCI-H1781,1298350,lung,carcinoma
OE21,1298359,oesophagus,carcinoma
OS-RC-2,909250,kidney,carcinoma
NCI-H187,688007,lung,carcinoma
KYSE-520,753575,oesophagus,carcinoma
KURAMOCHI,909975,ovary,carcinoma
KINGS-1,907279,central_nervous_system,glioma
LCLC-97TM1,946361,lung,carcinoma
LU-134-A,753588,lung,carcinoma
LOU-NH91,1298226,lung,carcinoma
GAMG,906868,central_nervous_system,glioma
GMS-10,906873,central_nervous_system,glioma
MFE-319,1240174,endometrium,carcinoma
KLE,924187,endometrium,carcinoma
KY821,907300,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm
KE-37,907277,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
LCLC-103H,753586,lung,carcinoma
L-1236,1330935,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm
